Date,M&M,Tata Motors,Axis Bank,SBI,HDFC,IndusInd,Kotak Mahindra,ICICI,HCL,Tech Mahindra,Wipro,Grasim Industries,Cipla,Sun Pharma,Bharti Airtel,ITC
2013-10,0.064650589,0.046045485,-0.05459226,0.012633944,-0.028642774,-0.052513451,0.005781083,-0.046656442,-0.008534296,0.094452024,-0.014446946,-0.055308659,-0.053122002,-0.060446762,-0.109234776,-0.043580605
2013-11,-0.001110805,-0.055930855,0.124226834,-0.029102272,0.006880369,-0.003552818,-0.037724615,0.02816774,0.162570902,0.082646083,0.187765468,0.020775357,0.024408915,-0.007954524,0.009938614,0.00452713
2013-12,-0.057191272,-0.071333444,-0.135893222,-0.137362014,-0.056093681,-0.087711012,-0.09776864,-0.101069687,0.158130479,-0.027695448,0.028345256,-0.055072381,0.024451143,0.037448233,-0.046176422,0.010094754
2014-01,0.094697806,0.192816903,0.128322759,0.006168599,0.065393757,0.035695707,0.041777662,0.056848676,0.077521578,0.044936981,0.038605281,-0.009474665,-0.064052649,0.095124849,-0.086983946,0.007843739
2014-02,0.006362249,-0.043890645,0.152677485,0.250741939,0.118279592,0.262515738,0.141051845,0.192748871,-0.11732526,-0.038505877,-0.090499121,0.136670155,-0.003903201,-0.108500094,0.104832902,0.07691147
2014-03,0.095340001,0.040388502,0.038822307,0.083902574,-0.036725428,-0.04682674,0.027591048,-0.00132526,0.008772613,0.02049962,-0.03838488,-0.094180517,0.038270701,0.101000414,0.03241463,-0.034289385
2014-04,0.150158309,0.000721313,0.210222807,0.223058813,0.099057276,0.116232895,0.082295103,0.140459048,0.011156872,0.049585419,-0.030916731,0.215286168,-0.032456972,-0.035003104,0.048926319,0.002931702
2014-05,-0.07146908,0.039153048,0.045039832,0.056642713,0.036329219,0.043449783,0.017153012,6.98E-05,0.05752343,0.119084763,0.079415236,0.079026324,0.138993664,0.1265864,0.128044394,-0.048864723
2014-06,0.047463454,0.035821859,0.020533145,-0.091949733,0.015154296,-0.00242311,0.079395648,0.037444973,0.036628289,-0.000650513,-0.003660322,-0.062891225,0.042237443,0.149720181,-0.005751931,0.095371515
2014-07,0.171056401,0.175265715,0.014298496,0.008793703,0.011450825,0.053346572,0.087920766,0.058149507,0.048647661,0.098763087,0.038300271,0.056801209,0.126396521,0.081294629,-0.04178923,-0.002106443
2014-08,-0.032973213,-0.043614959,0.004782867,-0.006095826,0.034497109,0.061661927,-0.023565198,-0.079171908,0.05150998,0.053618262,0.055814809,0.044460756,0.218980889,0.002338498,0.095728949,0.041934921
2014-09,-0.040123526,0.06711071,0.061630982,0.105123242,0.044920588,0.158555209,0.103790373,0.134704358,-0.062021756,0.011246335,-0.055460245,-0.011371491,0.063417359,-0.013823244,-0.015549164,-0.040518638
2014-10,0.013435958,-0.004385466,0.125545751,0.189137173,0.049679278,0.042146975,0.075340934,0.078534563,0.033541407,0.048596755,0.039202807,0.013583384,-0.047108191,-0.006742384,-0.041612395,0.022381769
2014-11,-0.067459904,-0.071133619,0.053359852,-0.029713716,-0.005798514,0.069291757,0.051060311,0.006326392,-0.039370817,-0.017613289,-0.052236285,-0.047992374,-0.013776273,-0.015660383,-0.07742573,0.015282928
2014-12,0.024828892,0.180808988,0.170581176,-0.009299323,0.132145863,0.084428935,0.046127009,0.021523355,0.122018865,0.106012141,0.092487979,0.147411957,0.110711963,0.110338169,0.059538217,-0.000406859
2015-01,0.01217297,-0.017089821,-0.035623113,-0.029292823,-0.021673529,-0.006550232,0.011760739,-0.070556121,0.128504421,-0.011416436,0.078727374,-0.035736825,-0.03722605,-0.042331764,-0.049504095,0.068241812
2015-02,-0.072393559,-0.043379616,-0.012254274,-0.109536534,-0.029696383,0.024869867,-0.018314334,-0.058912753,-0.030267039,-0.111769968,-0.038897498,-0.032814494,0.063596384,0.164978946,0.107264747,-0.17234169
2015-03,-0.036033041,-0.066336533,0.01356654,0.010110512,-0.033147574,-0.070203174,0.014962897,0.049602955,-0.101846219,-0.01326034,-0.143516824,-0.009123916,-0.107305791,-0.083064797,-0.031020149,-0.010739657
2015-04,0.098777272,-0.05233646,0.030996894,0.031139922,0.062449495,0.060876456,0.049816207,-0.041973843,0.147862147,-0.107749183,0.042891416,0.014306504,0.022720145,0.029024872,0.116767383,0.01473712
2015-05,0.019275098,-0.098619331,-0.0451828,-0.055365789,0.015801223,-0.001430288,-0.009647681,-0.0291565,-0.090032154,-0.138167447,-0.026704583,-0.054439968,-0.053885752,-0.094710695,-0.013040706,-0.03653462
2015-06,0.063360238,-0.115858548,0.026030929,0.027783018,0.041699854,0.120316258,0.003608024,-0.018182154,0.08534928,0.110715834,0.042343656,0.079535924,0.152177381,-0.059684374,-0.002976579,0.034426401
