Date,Open,High,Low,Close,Adj Close,Volume
2013-01-01,292.485992,340.277008,291.522003,311.812988,296.222046,110253884
2013-02-01,308.920990,318.424011,267.648987,296.480011,281.655762,124920307
2013-03-01,296.984985,300.197998,253.050003,267.878998,254.484787,138221974
2013-04-01,264.434998,297.627991,244.740005,275.200012,261.439758,99889010
2013-05-01,292.669006,305.570007,270.540985,277.243988,263.381500,95071586
2013-06-01,277.565002,283.257996,251.809998,267.878998,255.376083,101923999
2013-07-01,267.878998,319.526001,259.661011,316.312012,301.548553,105060437
2013-08-01,319.296997,325.035004,256.355011,274.627014,261.809174,123960029
2013-09-01,278.942993,329.395996,257.549011,292.578003,278.922302,121063124
2013-10-01,293.174011,340.184998,283.717010,337.062988,321.331024,102797208
2013-11-01,335.135010,343.214996,292.485992,300.243988,286.230499,88631032
2013-12-01,301.162994,315.852997,286.013000,303.227997,289.075226,86816959
2014-01-01,303.916992,311.261993,275.545013,289.226013,275.726746,117511156
2014-02-01,287.481995,293.312012,258.834015,264.067993,251.742950,128931290
2014-03-01,266.639008,300.428009,258.834015,291.751007,278.133881,126461063
2014-04-01,291.980988,317.230988,286.471985,301.208008,287.149536,84027495
2014-05-01,301.208008,321.316986,280.273987,315.945007,301.198700,114871176
2014-06-01,316.772003,363.500000,301.117004,356.399994,339.765472,134928647
2014-07-01,309.656006,356.700012,299.877014,354.350006,337.811188,106275523
2014-08-01,340.184998,355.427002,331.691986,339.541992,323.694305,87708172
2014-09-01,339.726013,385.635010,339.588013,372.045990,358.254395,101614827
2014-10-01,370.944000,382.743011,348.907990,366.260986,352.683777,81193048
2014-11-01,368.602997,374.433014,345.234985,351.019989,338.007813,91923382
2014-12-01,353.269012,355.656006,308.324005,323.842010,311.837280,94650401
2015-01-01,325.402008,363.322998,311.354004,343.122986,330.403503,89773788
2015-02-01,339.726013,346.428986,312.272003,326.136993,314.047180,78997824
2015-03-01,327.147003,371.403015,311.354004,361.119995,347.733398,175642126
2015-04-01,361.119995,392.062012,341.378998,349.917999,336.946625,119228278
2015-05-01,349.917999,399.407990,343.031006,390.777008,376.291046,187192653
2015-06-01,381.915985,401.519012,369.888000,385.681000,371.383942,87579724
2015-07-01,389.032013,415.429993,371.036011,384.532990,370.278534,75378129
2015-08-01,385.635010,392.704987,305.294006,339.200012,326.625977,114273854
2015-09-01,322.281006,335.778015,289.777008,310.207001,300.530243,93793270
2015-10-01,311.630005,345.700012,308.140991,341.549988,330.895477,89313558
2015-11-01,319.066986,324.851990,291.153992,306.993011,297.416504,54964624
2015-12-01,308.462006,313.786987,279.264008,312.548004,302.798187,83367521
2016-01-01,312.135010,322.549988,259.201996,289.899994,280.856689,131932393
2016-02-01,268.291992,307.497986,267.373993,289.684998,280.648376,98385803
2016-03-01,289.730988,331.829987,284.864990,322.096985,312.049316,76425137
2016-04-01,321.545990,353.498993,298.959015,333.850006,323.435699,73699665
2016-05-01,333.299011,346.566010,311.537994,322.648010,312.583160,86355737
2016-06-01,324.622009,339.726013,309.747009,336.787994,326.282104,65114784
2016-07-01,335.869995,350.559998,324.117004,332.425995,322.056061,52434316
2016-08-01,333.712006,341.102997,301.851013,304.514008,295.014801,68590894
2016-09-01,302.998993,305.157013,276.830994,288.308014,280.513641,116487232
2016-10-01,288.308014,299.463989,272.010010,292.760986,284.846283,61189689
2016-11-01,291.980988,300.061005,259.890015,298.040985,289.983490,65040170
2016-12-01,297.489990,309.838989,265.078003,280.640991,273.053894,61090804
2017-01-01,278.299988,339.679993,274.673004,319.709991,311.066711,98115251
2017-02-01,317.690002,368.190002,312.317993,335.273010,326.208954,126544502
2017-03-01,338.394989,339.541992,299.143005,321.407990,312.718750,97912914
2017-04-01,317.690002,332.334991,305.523987,326.411987,317.587524,64626067
