Date,M&M,Tata Motors
2014-09,-0.04012352592156887,0.06711071001517643
2014-10,0.013435958233751544,-0.004385466149775419
2014-11,-0.06745990406043445,-0.0711336187907331
2014-12,0.02482889156449164,0.18080898836024906
2015-01,0.012172969956644852,-0.017089820993229532
2015-02,-0.07239355876610687,-0.04337961621561004
2015-03,-0.03603304114363881,-0.06633653306217724
2015-04,0.09877727161572047,-0.05233646040334461
2015-05,0.019275097736747737,-0.09861933061707884
2015-06,0.06336023825059134,-0.11585854818645935
2015-07,-0.10464942395980203,-0.1138465841264048
2015-08,0.035138031908171996,-0.12215195864445605
2015-09,-0.0634594626950038,0.2891828675984687
2015-10,0.15368370031126122,0.10014284140352236
2015-11,-0.0682167879897474,-0.07603308618654092
2015-12,-0.030730519697828806,-0.0682340475819283
2016-01,-0.004175977295763134,-0.17800327189243104
