Date,Axis Bank,SBI,HDFC,IndusInd,Kotak Mahindra,ICICI
2007-06,-0.7932617671345995,0.06426694971171787,-0.4765206241154404,-0.061467853211009116,0.10051592578010182,-0.11755192563822103
2007-07,0.014539063748202574,-0.014476502980259598,-0.02407129808547903,0.04301067280505655,-0.04570269670793525,-0.042104799599736786
2007-08,0.2040944724409448,0.21589312675974015,0.22522830460405086,0.40112470107309117,0.3046651906605595,0.19586205012805524
2007-09,0.19977768375330474,0.06287756712940151,0.15171355742147585,0.3016722809364547,0.08528303077055277,0.18039076546152066
2007-10,0.014498304820961039,0.11323714426179698,0.0379521540571468,0.2266186466612954,0.23245484870937805,-0.06032217069954915
2007-11,0.042765759341165666,0.029861603228253264,0.007545954387846221,0.06828657005926386,0.05115522983380605,0.05116798555067614
2007-12,0.15492817053796037,-0.03123507990396357,-0.09227344648028579,-0.25725492549019613,-0.20669443541621657,-0.07403051200143407
2008-01,-0.08766063815737624,-0.025699623846173192,-0.07186772550262532,0.05649425733350344,-0.2202022217430033,-0.05100098828551136
2008-02,-0.22756831029212043,-0.24218028885119236,-0.08615069669845832,-0.21389305705468098,-0.21967330416676134,-0.2931548938121292
2008-03,0.16927268361541636,0.10898298799498773,0.14490135586854458,0.14939605468795802,0.26482176968250104,0.1432257624911213
2008-04,-0.14108609177844933,-0.18575491924052434,-0.10199126538686387,-0.14546462067556154,-0.1246759320916544,-0.10345343683738928
2008-05,-0.23725177071232662,-0.2307266159169551,-0.2639731008976802,-0.300323637540453,-0.3340087316982352,-0.20086204821073628
2008-06,0.08073710303715242,0.2749640239307658,0.09008342446065964,0.04625346986592893,0.14961640736728032,0.011267040099954162
2008-07,0.1062853196687974,-0.009455007537625293,0.16259159199396067,0.06454468725985318,0.14089586605751858,0.05429219874956037
2008-08,-0.004354368471665704,0.042383532513571076,-0.03681363729636766,-0.07890365317435788,-0.08450026931109078,-0.2029345535269429
2008-09,-0.21839643418820343,-0.24167153659957807,-0.1684150510822553,-0.2678088860629597,-0.3915026443937105,-0.25543815646734014
2008-10,-0.2743582920102422,-0.019059186995952326,-0.09764326036293247,-0.2142856755805751,-0.005782953530855783,-0.11811860689655174
2008-11,0.23549578588111864,0.1839603274826056,0.08192898223941492,0.17711595611285258,0.06636838180462346,0.2742772618683995
2008-12,-0.14067766711556062,-0.10692121714303171,-0.07287024663565134,-0.11185089512252722,-0.20629370629370636,-0.07107780714085055
2009-01,-0.19783256162860396,-0.10920937635463723,-0.039001740255007356,-0.09445268932250006,-0.08563872422907481,-0.21309219372303256
2009-02,0.1927277323159604,0.0407685559423443,0.09432264511487287,0.06291380586378148,0.08768548447783453,0.01602734297602537
2009-03,0.3495602204978967,0.20996163630364184,1.2703925321714622,0.26947048407915775,0.373848318617364,0.4453130869468198
