Date,Open,High,Low,Close,Adj Close,Volume
2007-05-01,135.875000,157.250000,129.500000,143.074997,138.571808,46995412
2007-06-01,144.449997,169.500000,137.500000,168.261993,162.966095,40372264
2007-07-01,169.500000,188.725006,148.250000,185.175003,180.147430,54865500
2007-08-01,185.287994,203.750000,153.087006,176.712006,171.914185,93152328
2007-09-01,179.875000,234.500000,162.912994,230.550003,224.290436,59045208
2007-10-01,231.250000,266.975006,200.250000,250.212006,243.418610,66532504
2007-11-01,254.000000,311.912994,223.750000,308.375000,300.002441,51585036
2007-12-01,312.000000,349.750000,272.500000,324.149994,315.349152,42884972
2008-01-01,337.500000,359.500000,200.000000,257.149994,250.168228,88395684
2008-02-01,258.750000,261.750000,190.750000,200.524994,195.080658,71277572
2008-03-01,198.000000,198.000000,134.250000,156.475006,152.226624,108200608
2008-04-01,157.837006,206.250000,147.811996,197.912994,192.539566,89491548
2008-05-01,197.350006,221.975006,162.524994,173.238007,168.534531,90481296
2008-06-01,175.000000,175.000000,114.000000,115.375000,112.242508,103473584
2008-07-01,112.875000,150.000000,104.637001,132.636993,129.035843,176996464
2008-08-01,128.774994,182.061996,127.574997,151.324997,148.093597,144031336
2008-09-01,150.000000,171.000000,125.012001,138.537994,135.579666,207036732
2008-10-01,139.337006,144.000000,60.000000,84.300003,82.499847,152207096
2008-11-01,87.000000,117.250000,68.500000,83.812500,82.022758,158931936
2008-12-01,85.025002,100.000000,75.562500,89.375000,87.466476,132953188
2009-01-01,90.000000,102.724998,62.087502,70.937500,69.422699,121574488
2009-02-01,65.337502,72.712502,59.000000,64.862503,63.477428,76229464
2009-03-01,64.250000,76.474998,52.000000,70.550003,69.043472,174831676
2009-04-01,71.199997,110.500000,67.949997,96.925003,94.855270,172466464
2009-05-01,96.925003,180.725006,96.925003,169.636993,166.014572,224234028
2009-06-01,172.500000,184.250000,146.261993,157.949997,154.577164,136372404
2009-07-01,159.125000,171.238007,132.324997,163.761993,160.265015,134386428
2009-08-01,164.975006,192.712006,162.750000,179.050003,176.178818,128662480
2009-09-01,179.425003,196.000000,158.199997,194.875000,191.750015,71940328
2009-10-01,193.500000,210.000000,175.875000,178.287994,175.429031,56306512
2009-11-01,177.175003,212.500000,168.024994,196.774994,193.619553,64084108
2009-12-01,197.500000,208.425003,183.250000,201.738007,198.502991,41405772
2010-01-01,201.949997,219.949997,185.750000,194.725006,191.602448,53861988
2010-02-01,192.050003,202.524994,173.886993,186.061996,183.078354,40494548
2010-03-01,184.225006,205.000000,180.500000,187.037994,184.038712,55562808
2010-04-01,188.000000,199.550003,175.000000,184.636993,181.676193,57642048
2010-05-01,185.000000,197.949997,177.024994,189.636993,186.596024,63350856
2010-06-01,191.000000,201.750000,182.024994,192.738007,189.647324,125406688
2010-07-01,192.475006,199.375000,186.274994,192.811996,190.590469,64776832
2010-08-01,194.000000,219.500000,193.113007,207.136993,204.750412,71678252
2010-09-01,208.912994,253.000000,202.649994,238.149994,235.406082,81032032
2010-10-01,239.850006,263.274994,227.500000,232.125000,229.450500,58353962
2010-11-01,235.550003,248.774994,217.500000,238.350006,235.603790,39524190
2010-12-01,237.000000,247.500000,219.925003,226.824997,224.211563,36134330
2011-01-01,228.949997,232.425003,184.725006,192.625000,190.405624,33723652
2011-02-01,192.875000,213.875000,166.500000,202.524994,200.191544,51831720
2011-03-01,205.375000,231.500000,202.500000,228.925003,226.287399,46774572
2011-04-01,228.524994,236.199997,210.550003,215.050003,212.572250,22952422
2011-05-01,217.250000,222.500000,201.399994,220.725006,218.181854,41432260
2011-06-01,220.550003,241.750000,213.225006,239.675003,236.913513,48065214
2011-07-01,241.500000,254.475006,220.675003,222.524994,219.961121,48690322
2011-08-01,224.500000,239.000000,205.500000,221.350006,219.254059,39143602
2011-09-01,227.975006,242.500000,217.750000,229.850006,227.673584,32667496
2011-10-01,227.399994,260.000000,212.300003,256.200012,253.774063,39190544
2011-11-01,253.324997,257.549988,214.074997,233.350006,231.140427,25619626
2011-12-01,239.550003,250.500000,213.475006,215.274994,213.236588,32549580
2012-01-01,216.449997,251.000000,209.050003,249.175003,246.815567,36802854
2012-02-01,249.000000,292.475006,246.000000,273.875000,271.281677,42795444
2012-03-01,271.500000,288.174988,255.250000,272.674988,270.093048,29871510
2012-04-01,273.125000,301.375000,265.500000,291.399994,288.640717,22965046
2012-05-01,291.399994,296.950012,263.700012,281.750000,279.082153,31894802
2012-06-01,281.750000,297.200012,266.000000,296.149994,293.345703,32169270
2012-07-01,296.625000,306.450012,262.049988,267.875000,265.338531,40093476
2012-08-01,268.750000,300.000000,267.524994,287.049988,284.901245,39081722
