Date,HCL,Tech Mahindra,Wipro
2013-12,0.15813047858622853,-0.027695447792912775,0.028345255531882607
2014-01,0.07752157825265749,0.04493698081869213,0.03860528053558565
2014-02,-0.11732525997237786,-0.03850587717952747,-0.09049912060595311
2014-03,0.008772612656277712,0.020499619855320228,-0.03838488029040077
2014-04,0.011156872002448415,0.049585419326589664,-0.030916730528995684
2014-05,0.05752342952531886,0.11908476339053564,0.07941523634002734
2014-06,0.03662828891944225,-0.000650513011152376,-0.0036603222155291437
2014-07,0.04864766070834281,0.09876308682169777,0.03830027053539853
2014-08,0.05150997973479665,0.05361826153195093,0.055814809405568155
2014-09,-0.06202175648551167,0.011246335116610107,-0.055460245011703546
2014-10,0.03354140710955389,0.04859675510690087,0.039202807160292785
2014-11,-0.039370817094315225,-0.017613289435208124,-0.05223628470827857
